slot,delivered,collisions,idle,p_tx0,p_tx1,p_tx2,p_tx3
100,30,36,32,0.2503485381603241,0.2503485381603241,0.2503485381603241,0.2503485381603241
200,74,66,57,0.26929181814193726,0.26929181814193726,0.26929181814193726,0.26929181814193726
300,119,97,81,0.2856639623641968,0.2856639623641968,0.2856639623641968,0.2856639623641968
400,158,131,104,0.23953145742416382,0.23953145742416382,0.23953145742416382,0.23953145742416382
500,199,161,129,0.2945170998573303,0.2945170998573303,0.2945170998573303,0.2945170998573303
600,244,195,149,0.2582680881023407,0.2582680881023407,0.2582680881023407,0.2582680881023407
700,291,229,168,0.28113678097724915,0.28113678097724915,0.28113678097724915,0.28113678097724915
800,330,260,195,0.26136255264282227,0.26136255264282227,0.26136255264282227,0.26136255264282227
900,368,289,228,0.25041237473487854,0.25041237473487854,0.25041237473487854,0.25041237473487854
1000,413,315,254,0.3448319733142853,0.3448319733142853,0.3448319733142853,0.3448319733142853
1100,454,347,281,0.27822327613830566,0.27822327613830566,0.27822327613830566,0.27822327613830566
1200,500,380,302,0.3161256015300751,0.3161256015300751,0.3161256015300751,0.3161256015300751
1300,540,406,333,0.32599949836730957,0.32599949836730957,0.32599949836730957,0.32599949836730957
1400,589,439,351,0.33897632360458374,0.33897632360458374,0.33897632360458374,0.33897632360458374
1500,627,472,380,0.2765914797782898,0.2765914797782898,0.2765914797782898,0.2765914797782898
1600,674,501,403,0.30106863379478455,0.30106863379478455,0.30106863379478455,0.30106863379478455
1700,713,531,432,0.24753405153751373,0.24753405153751373,0.24753405153751373,0.24753405153751373
1800,757,563,455,0.24922524392604828,0.24922524392604828,0.24922524392604828,0.24922524392604828
1900,800,589,483,0.31327322125434875,0.31327322125434875,0.31327322125434875,0.31327322125434875
2000,846,621,504,0.3161613643169403,0.3161613643169403,0.3161613643169403,0.3161613643169403
2100,885,657,527,0.2273157238960266,0.2273157238960266,0.2273157238960266,0.2273157238960266
2200,926,685,558,0.3011605739593506,0.3011605739593506,0.3011605739593506,0.3011605739593506
2300,970,719,580,0.3132490813732147,0.3132490813732147,0.3132490813732147,0.3132490813732147
2400,1009,752,608,0.24198560416698456,0.24198560416698456,0.24198560416698456,0.24198560416698456
2500,1050,782,636,0.2382931262254715,0.2382931262254715,0.2382931262254715,0.2382931262254715
2600,1094,811,661,0.27330711483955383,0.27330711483955383,0.27330711483955383,0.27330711483955383
2700,1137,840,688,0.2820459306240082,0.2820459306240082,0.2820459306240082,0.2820459306240082
2800,1177,874,714,0.18374593555927277,0.18374593555927277,0.18374593555927277,0.18374593555927277
2900,1216,897,751,0.28677496314048767,0.28677496314048767,0.28677496314048767,0.28677496314048767
3000,1258,929,777,0.2811790108680725,0.2811790108680725,0.2811790108680725,0.2811790108680725
3100,1302,955,805,0.31012463569641113,0.31012463569641113,0.31012463569641113,0.31012463569641113
3200,1346,989,827,0.3075714707374573,0.3075714707374573,0.3075714707374573,0.3075714707374573
3300,1391,1024,846,0.2861156463623047,0.2861156463623047,0.2861156463623047,0.2861156463623047
3400,1431,1056,872,0.22930090129375458,0.22930090129375458,0.22930090129375458,0.22930090129375458
3500,1478,1083,898,0.2903670072555542,0.2903670072555542,0.2903670072555542,0.2903670072555542
3600,1522,1117,919,0.2629351317882538,0.2629351317882538,0.2629351317882538,0.2629351317882538
3700,1566,1146,945,0.2849038243293762,0.2849038243293762,0.2849038243293762,0.2849038243293762
3800,1604,1174,977,0.29128214716911316,0.29128214716911316,0.29128214716911316,0.29128214716911316
3900,1652,1207,994,0.30975276231765747,0.30975276231765747,0.30975276231765747,0.30975276231765747
4000,1694,1234,1024,0.31782346963882446,0.31782346963882446,0.31782346963882446,0.31782346963882446
