slot,delivered,collisions,idle,p_tx0,p_tx1,p_tx2,p_tx3
100,34,53,11,0.2918272316455841,0.28460443019866943,0.37556979060173035,0.20660609006881714
200,83,67,47,0.20887050032615662,0.13973434269428253,0.18967562913894653,0.1398582011461258
300,113,76,108,0.16976603865623474,0.10584977269172668,0.10160330682992935,0.10840827226638794
400,145,79,173,0.16043908894062042,0.09432175010442734,0.0873672217130661,0.10797089338302612
500,179,84,232,0.11654490977525711,0.08201684802770615,0.06623575836420059,0.08222896605730057
600,198,87,309,0.08801306039094925,0.05072139948606491,0.050553083419799805,0.07787250727415085
700,218,89,387,0.07382272928953171,0.051791802048683167,0.05091420188546181,0.05479229614138603
800,236,93,464,0.05600973963737488,0.040109649300575256,0.047554247081279755,0.03769782558083534
900,247,95,550,0.04123477637767792,0.03513716533780098,0.04584232345223427,0.02963567152619362
1000,265,95,631,0.03739411383867264,0.030887898057699203,0.056101683527231216,0.033036574721336365
1100,275,95,720,0.03800342231988907,0.03148715943098068,0.04701298475265503,0.03494489565491676
1200,291,95,804,0.03897526487708092,0.032411377876996994,0.052646998316049576,0.0378260612487793
1300,307,97,886,0.02761019393801689,0.027080664411187172,0.04759619012475014,0.03218478709459305
1400,317,98,975,0.029050957411527634,0.022797366604208946,0.04045749083161354,0.03412163257598877
1500,329,99,1061,0.02544301003217697,0.02396182157099247,0.0367434024810791,0.027849147096276283
1600,337,99,1153,0.025034097954630852,0.024593930691480637,0.03757668286561966,0.027187425643205643
1700,348,100,1240,0.021186385303735733,0.02613966353237629,0.038680970668792725,0.017308512702584267
1800,355,100,1333,0.020889941602945328,0.02702154777944088,0.04128681868314743,0.017888855189085007
1900,361,100,1427,0.02334674261510372,0.028523994609713554,0.044089652597904205,0.018658557906746864
2000,376,100,1512,0.0259071234613657,0.030977344140410423,0.05641867220401764,0.02000362239778042
2100,386,101,1601,0.022359423339366913,0.03227397799491882,0.040735919028520584,0.020840754732489586
2200,393,102,1692,0.023929337039589882,0.03316444158554077,0.03387624770402908,0.012224717065691948
2300,399,103,1785,0.017198272049427032,0.034694839268922806,0.029165353626012802,0.012739861384034157
2400,409,103,1875,0.017735542729496956,0.03546862676739693,0.03327152132987976,0.012848691083490849
2500,423,103,1961,0.01840687170624733,0.03726860508322716,0.03913035988807678,0.014336377382278442
2600,437,103,2046,0.022011062130331993,0.04256188124418259,0.03128090500831604,0.014943421818315983
2700,448,104,2134,0.013381827622652054,0.030637407675385475,0.03522099554538727,0.011407787911593914
2800,455,104,2226,0.016351750120520592,0.0211667250841856,0.038486503064632416,0.012097069062292576
2900,463,104,2318,0.021875614300370216,0.02168221026659012,0.046299926936626434,0.012230901047587395
3000,471,105,2409,0.012341092340648174,0.016757700592279434,0.0497085303068161,0.013407324440777302
3100,479,105,2501,0.01280647236853838,0.01770058646798134,0.06620560586452484,0.016160793602466583
3200,482,106,2597,0.013885523192584515,0.011723151430487633,0.045670658349990845,0.017161596566438675
3300,493,107,2685,0.016697484999895096,0.012675411999225616,0.03280035778880119,0.01000643614679575
3400,496,108,2781,0.02123449556529522,0.011530372314155102,0.031763818114995956,0.010855394415557384
3500,506,108,2871,0.02359313704073429,0.00916366744786501,0.02464364841580391,0.01537966076284647
3600,521,109,2955,0.02435259148478508,0.009650892578065395,0.018534976989030838,0.014247497543692589
3700,532,109,3044,0.042967308312654495,0.010456858202815056,0.020964790135622025,0.025714358314871788
3800,547,109,3129,0.045507192611694336,0.010497448034584522,0.021649762988090515,0.05052229017019272
3900,581,109,3193,0.08168903738260269,0.010546973906457424,0.02218242920935154,0.04268834367394447
4000,593,110,3280,0.14764276146888733,0.011914550326764584,0.015422580763697624,0.023244859650731087
