slot,delivered,collisions,idle,p_tx0,p_tx1,p_tx2,p_tx3
100,71,10,11,0.5296325087547302,0.4319246709346771,0.3999573290348053,0.30834129452705383
200,129,16,36,0.513092041015625,0.2707307040691376,0.16388589143753052,0.13995365798473358
300,172,22,84,0.45918184518814087,0.1861364245414734,0.06820788234472275,0.10147954523563385
400,215,23,136,0.4107630252838135,0.11185971647500992,0.059820506721735,0.07941122353076935
500,254,23,190,0.4225532114505768,0.1036614403128624,0.052064862102270126,0.047370657324790955
600,287,23,254,0.4229585528373718,0.1019265279173851,0.040953025221824646,0.03906635940074921
700,317,23,322,0.4274560511112213,0.07889415323734283,0.04112965986132622,0.03767018765211105
800,354,23,382,0.4293346405029297,0.0733201652765274,0.04451940953731537,0.02510981075465679
900,382,23,452,0.4305975139141083,0.05619727075099945,0.02330862358212471,0.018700994551181793
1000,412,23,521,0.4531777799129486,0.04584628343582153,0.022030407562851906,0.017616046592593193
1100,437,23,594,0.44785064458847046,0.03593810647726059,0.019060954451560974,0.012380310334265232
1200,467,23,664,0.46065089106559753,0.03481283411383629,0.013808682560920715,0.00910566933453083
1300,497,23,733,0.44784286618232727,0.03413639962673187,0.015266725793480873,0.008650301024317741
1400,520,23,810,0.4320189654827118,0.034329116344451904,0.01548081822693348,0.008273143321275711
1500,542,24,887,0.42111170291900635,0.021615946665406227,0.013081449083983898,0.007166533265262842
1600,565,24,964,0.43898820877075195,0.02149881422519684,0.013698391616344452,0.0071947695687413216
1700,590,24,1037,0.4100264012813568,0.01654241234064102,0.014191859401762486,0.005329083185642958
1800,613,24,1113,0.3890705108642578,0.016533542424440384,0.014294103719294071,0.004421124700456858
1900,638,24,1187,0.3872869908809662,0.01802077516913414,0.014387386851012707,0.0035429494455456734
2000,671,24,1253,0.404635488986969,0.01354820653796196,0.015711788088083267,0.001990419114008546
2100,702,24,1322,0.43240803480148315,0.013580163940787315,0.015916038304567337,0.0019436974544078112
2200,724,24,1400,0.45533502101898193,0.013619733974337578,0.0160090122371912,0.0019447060767561197
2300,752,24,1472,0.45559558272361755,0.013959516771137714,0.00959163811057806,0.0019457428716123104
2400,779,24,1545,0.5166031122207642,0.01400055829435587,0.009430363774299622,0.0019467765232548118
2500,805,24,1619,0.5277146100997925,0.014416166581213474,0.010052569210529327,0.0019477895693853498
2600,833,24,1691,0.5499418377876282,0.014462062157690525,0.010882178321480751,0.0019484309013932943
2700,858,24,1765,0.5915762782096863,0.014525936916470528,0.010969551280140877,0.0019490182166919112
2800,886,24,1837,0.6476264595985413,0.014824682846665382,0.00822922121733427,0.0019495673477649689
2900,915,24,1908,0.656693160533905,0.014860613271594048,0.008249086327850819,0.0019501092610880733
3000,943,24,1980,0.616534948348999,0.015383545309305191,0.008269693702459335,0.0019506820244714618
3100,963,24,2060,0.6349331140518188,0.00939189363270998,0.008289587683975697,0.001951213926076889
3200,989,24,2134,0.6475841999053955,0.009409531019628048,0.009548438712954521,0.0019516466418281198
3300,1013,24,2210,0.6430833339691162,0.00943246204406023,0.006407709326595068,0.0019520302303135395
3400,1042,24,2280,0.6360836625099182,0.009801664389669895,0.006088982801884413,0.001322179683484137
3500,1067,24,2354,0.649169385433197,0.010895393788814545,0.006573684047907591,0.0009804164292290807
3600,1101,24,2420,0.6698769927024841,0.011066710576415062,0.006583828013390303,0.000920511782169342
3700,1125,24,2496,0.6872969269752502,0.011302323080599308,0.006593868136405945,0.000920589838642627
3800,1146,24,2575,0.7098250985145569,0.011333164758980274,0.0066036018542945385,0.000920671911444515
3900,1170,24,2651,0.7781257629394531,0.011371290311217308,0.0073161362670362,0.0009207306429743767
4000,1197,24,2724,0.7502117156982422,0.011409579776227474,0.007652537897229195,0.0009207903640344739
