slot,delivered,collisions,idle,p_tx_agent0,p_tx_agent1,p_tx_agent2,p_tx_agent3
100,40,43,17,0.3631376326084137,0.3299061357975006,0.34106701612472534,0.3403320014476776
200,79,79,42,0.28086429834365845,0.16513240337371826,0.21175231039524078,0.24164004623889923
300,128,103,69,0.34001708030700684,0.10880380123853683,0.25895196199417114,0.2315397411584854
400,174,120,106,0.4302809238433838,0.11895124614238739,0.2636692523956299,0.21480605006217957
500,221,145,134,0.6657012701034546,0.04756913706660271,0.27770888805389404,0.16848327219486237
600,272,160,168,0.8048799633979797,0.0328260213136673,0.26450836658477783,0.22741717100143433
700,315,184,201,0.7957579493522644,0.020915508270263672,0.2547631561756134,0.20379255712032318
800,349,202,249,0.807585597038269,0.014233916066586971,0.1813511997461319,0.27409568428993225
900,395,214,291,0.8509911894798279,0.016253912821412086,0.13034512102603912,0.3913017809391022
1000,435,245,320,0.842851459980011,0.01187755074352026,0.07324544340372086,0.3092741072177887
1100,480,265,355,0.8407319188117981,0.010130999609827995,0.030511410906910896,0.4462519884109497
1200,534,276,390,0.8656074404716492,0.012938127852976322,0.025535989552736282,0.6829228401184082
1300,567,276,457,0.897875964641571,0.0130647337064147,0.033601533621549606,0.8049300312995911
1400,606,305,489,0.8827764391899109,0.011134559288620949,0.035428766161203384,0.7086993455886841
1500,638,331,531,0.8669576048851013,0.011808673851191998,0.04778905212879181,0.5860205292701721
1600,683,359,558,0.8277485370635986,0.011808094568550587,0.028449038043618202,0.601375162601471
1700,720,381,599,0.8634859323501587,0.011808101087808609,0.030550271272659302,0.5805398225784302
1800,762,382,656,0.9173990488052368,0.011808101087808609,0.03168027848005295,0.7536320090293884
1900,791,397,712,0.9174341559410095,0.011808101087808609,0.030789166688919067,0.769433856010437
2000,830,407,763,0.9390088319778442,0.009151206351816654,0.03086118958890438,0.7995807528495789
2100,864,449,787,0.9169769883155823,0.006906954105943441,0.02761766128242016,0.5266481637954712
2200,915,481,804,0.9018950462341309,0.006906372029334307,0.02130070887506008,0.6552590727806091
2300,954,527,819,0.8136270642280579,0.006906372029334307,0.021300727501511574,0.5180718898773193
2400,994,543,863,0.8646708130836487,0.006906372029334307,0.030254602432250977,0.5673298835754395
2500,1042,572,886,0.9013606905937195,0.006906372029334307,0.019858961924910545,0.5914605855941772
2600,1092,610,898,0.9359602928161621,0.006906372029334307,0.014412697404623032,0.3471239507198334
2700,1129,617,954,0.9547821283340454,0.006906372029334307,0.01363331452012062,0.4602452218532562
2800,1156,627,1017,0.9584710001945496,0.005109643097966909,0.016161946579813957,0.5834389925003052
2900,1203,659,1038,0.9642664194107056,0.004913559649139643,0.014260053634643555,0.4308938980102539
3000,1245,672,1083,0.9673691391944885,0.00491353590041399,0.014259482733905315,0.565861165523529
3100,1282,686,1132,0.9668925404548645,0.00491353590041399,0.013474042527377605,0.7153612375259399
3200,1320,734,1146,0.956064760684967,0.00491353590041399,0.010745269246399403,0.47153693437576294
3300,1353,738,1209,0.9680483937263489,0.00491353590041399,0.012793483212590218,0.5877067446708679
3400,1394,782,1224,0.9653058052062988,0.00491353590041399,0.010020606219768524,0.4683583080768585
3500,1443,813,1244,0.9679073095321655,0.0037148776464164257,0.009818760678172112,0.4842985272407532
3600,1487,839,1274,0.9714571237564087,0.0031604294199496508,0.007580196484923363,0.4526742696762085
3700,1524,848,1328,0.9790363907814026,0.0031603979878127575,0.007575176190584898,0.5288496017456055
3800,1562,885,1353,0.9785063862800598,0.0031603979878127575,0.007575176190584898,0.5182532072067261
3900,1605,915,1380,0.9842339158058167,0.0031603979878127575,0.007575176190584898,0.5286113023757935
4000,1642,938,1420,0.9887861013412476,0.0031603979878127575,0.005562336649745703,0.5003244280815125
